Reading_NoInt,Naming_Int,Naming_NoInt,Reading_Int,Year
4.09,7.73,5.15,4.42,2018
4.55,9.04,5.47,6.35,2018
4.2,7.49,4.75,4.9,2018
4.2,9.3,7,5,2018
3.4,7.4,5.2,4.3,2018
3.9,10.3,5.7,4.4,2018
3.1,10.2,4.9,4,2018
4.8,10.7,5.4,6.3,2018
3.81,11.45,6.48,7.6,2018
3.7,15.09,5.05,5.2,2018
3.02,7.01,4.59,3.63,2018
3.34,8.83,4.93,4.35,2018
3.86,7.83,5,4,2018
4.04,7.11,4,3,2018
4.28,11.11,5.85,6.63,2018
4.77,10.22,5.13,4.73,2017
4.69,9.82,5.85,6.62,2017
5.22,9.55,4.55,4.93,2017
3.82,8.15,5.46,4.13,2017
3.7,12.46,5.83,4.26,2017
3.61,11.1,4.96,3.32,2017
4.67,6.65,4.26,3.98,2017
4.21,8.23,4.87,7.1,2017
5.15,7.91,6.29,6.66,2017
3.78,8.31,4.58,3.92,2017
4.26,9.14,5.45,8.84,2017
4.82,7.7,6.22,7.36,2017
4.33,7.13,5.23,6.04,2017
4.5,8.01,5.41,7.83,2017
5.58,12.68,5.79,4.95,2017
5.03,9.21,5.75,4.9,2017
4.15,10.74,6,5,2017
4.24,7,4.98,4.53,2017
3.93,8.42,5.18,4.25,2017
4.2,16.02,7.1,4.38,2017
4.59,7.08,6.23,4.06,2017
3.56,9.1,5.62,4.03,2017
2.83,6.29,4.03,4.15,2017
3.69,9.06,6.02,5.66,2017
5.98,9.11,6.89,6.92,2017
6.2,17,6.3,5.7,2017
5.7,12.2,8.2,5,2017
4.5,9.6,7.2,5.1,2017
3.9,7.8,5.4,4.5,2017
4,8.5,7.4,5.2,2017
4,8.3,5.69,4,2017
5.1,11.5,8.2,14.56,2017
3.79,5.75,4.7,4.97,2017
3.59,6.86,5.45,5.16,2017
3.48,8.49,5.33,4.86,2016
4.36,8.5,4.46,7.46,2016
4.59,8.68,6.09,7.09,2016
4.22,8.26,4.81,5.15,2016
4.15,7.53,4.6,3.35,2016
3.74,5.53,3.63,3.83,2016
3.73,7.35,4.21,3.88,2016
3.33,8.9,6.12,4.96,2016
4.46,8.37,5.08,4.46,2016
4.42,10.2,6.1,4.33,2016
4.33,9.5,5.95,4.8,2016
3.55,8.09,4.46,4.51,2016
4.61,9.71,7.26,6.4,2016
3.93,8.63,5.65,7.19,2016
4.05,6.95,5.7,4.7,2016
4.15,10.93,5.73,4.81,2016
3.8,10.7,5.8,7.4,2016
4.2,8.1,4.8,8,2016
4.4,8.1,5.9,9.3,2016
4.04,15.06,8,6,2016
4.31,11,6.9,7.55,2016
5.06,8.1,5.68,7.3,2016
4.3,9.37,5.71,6,2016
4.08,10.21,7.23,4.88,2016
4.33,9.54,5.47,4.21,2016
4.2,8.4,6.63,4.5,2016
4.27,8.26,4.9,4.8,2016
4.22,8.46,5.41,3.98,2016
4.87,13.65,5.57,7.03,2016
3.58,6.66,4.36,4.8,2016
3.63,6.76,4.86,4.54,2016
3.83,10.88,5.13,4.38,2016
4.31,8.73,5.06,6.66,2016
4.13,8.31,4.48,4.36,2016
3.85,7.71,4.66,3.37,2016
3.96,8.66,5.4,4.38,2016
3.38,10.61,4.64,4.95,2016
3.73,6.09,4.77,5.08,2016
3.61,7.51,4.05,3.83,2016
4.2,9.14,6.08,4.64,2016
3.73,7.6,4.96,5.22,2016
4.16,6.76,4.45,4.65,2015
4.35,7.73,4.78,4.46,2015
3.6,7,4,3.5,2015
3.9,9.03,4.6,6.3,2015
4.22,9.98,6.83,6.24,2015
4.31,6.51,5.78,4.08,2015
4.58,11.57,6.22,4.49,2015
3.93,7.33,5.5,4.26,2015
4.48,9.78,5.04,5.33,2015
3.56,7.86,4.16,3.81,2015
3.1,10.49,5.34,3.62,2015
4.11,9.17,5.22,3.97,2015
3.17,7.51,3.69,3.26,2015
3.85,9.92,6.12,4.28,2015
